well_id,api_formatted,compl_date,xmid,xlen,ymid,ylen,zmid,zlen,NS_orientation,xpos_dist,xpos_date,xpos_id,xpos_api,xneg_dist,xneg_date,xneg_id,xneg_api,ypos_dist,ypos_date,ypos_id,ypos_api,yneg_dist,yneg_date,yneg_id,yneg_api,zpos_dist,zpos_date,zpos_id,zpos_api,zneg_dist,zneg_date,zneg_id,zneg_api,xy_dist,xy_date,xy_id,xy_api,xyz_dist,xyz_date,xyz_id,xyz_api
643634,4238337719,2012-07-14,908633.0,240.0,11438278.0,5460.0,-4564.5,35.0,True,,,,,,,,,,,,,,,,,,,,,,,,,30756.50964023714,2012-04-18,642342.0,4238337627.0,30756.741789402855,2012-04-18,642342.0,4238337627.0
643320,4238337758,2012-07-17,896431.0,228.0,11470188.5,4223.0,-6614.0,20.0,True,641.5,2011-09-22,749286.0,4238337140.0,,,,,,,,,-1287.0,2011-09-22,749286.0,4238337140.0,,,,,,,,,1438.0164289743007,2011-09-22,749286.0,4238337140.0,1438.1229085165148,2011-09-22,749286.0,4238337140.0
632432,4231742382,2012-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643316,4238337723,2012-07-26,890327.5,225.0,11430470.0,5772.0,-4720.0,30.0,True,,,,,,,,,,,,,,,,,,,,,,,,,19901.16062570221,2012-07-14,643634.0,4238337719.0,19901.768124968192,2012-07-14,643634.0,4238337719.0
607733,4231737273,2012-08-12,2542000.0,972.0,11706589.0,3594.0,-8606.5,73.0,True,,,,,-3999.5,2011-08-05,627257.0,4231736666.0,,,,,,,,,,,,,,,,,4002.255926349538,2011-08-05,627257.0,4231736666.0,4002.5318861940377,2011-08-05,627257.0,4231736666.0
643321,4238337777,2012-08-15,901240.0,340.0,11454977.5,5967.0,-4660.5,19.0,True,,,,,,,,,,,,,,,,,,,,,,,,,14050.294178414913,2012-04-18,642342.0,4238337627.0,14050.313831014593,2012-04-18,642342.0,4238337627.0
642634,4238337763,2012-08-18,880863.0,0.0,11474146.0,0.0,-5267.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,3568.916151999091,2010-11-24,2914320.0,4238336958.0,3575.059824674267,2010-11-24,2914320.0,4238336958.0
605586,4217337845,2012-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603187,4217334936,2012-08-24,857980.5,607.0,11597285.5,3073.0,-7516.0,60.0,True,,,,,,,,,,,,,,,,,,,,,,,,,22968.46179547076,2011-08-28,602791.0,4217334322.0,22986.739862364127,2011-08-28,602791.0,4217334322.0
603348,4217335042,2012-08-28,844101.5,1577.0,11652942.0,6620.0,-6674.0,108.0,True,,,,,-5939.5,2011-05-14,602637.0,4217334054.0,,,,,,,,,,,,,,,,,6049.331905260283,2011-05-14,602637.0,4217334054.0,6049.3990404006245,2011-05-14,602637.0,4217334054.0
649707,4238337856,2012-08-31,893042.0,264.0,11447912.5,6007.0,-4743.0,28.0,True,,,,,,,,,28335.5,2012-03-03,643137.0,4238337585.0,,,,,,,,,,,,,10822.265428273324,2012-08-15,643321.0,4238337777.0,10822.57987958509,2012-08-15,643321.0,4238337777.0
583764,4217334967,2012-09-02,864042.0,664.0,11571415.0,3528.0,-5972.0,38.0,True,,,,,,,,,,,,,,,,,,,,,-720.0,2011-07-16,2675074.0,4217333741.0,393.5308120084119,2011-07-16,2675074.0,4217333741.0,820.5281835500838,2011-07-16,2675074.0,4217333741.0
749360,4238337774,2012-09-14,882819.5,247.0,11477328.5,6411.0,-5998.5,13.0,True,,,,,,,,,,,,,,,,,941.0,2010-11-24,2914320.0,4238336958.0,,,,,933.2786293492421,2010-11-24,2914320.0,4238336958.0,1325.3263748978966,2010-11-24,2914320.0,4238336958.0
4133060,4232936288,2012-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649713,4238337899,2012-09-25,912071.0,206.0,11459508.0,4502.0,-4575.0,26.0,True,,,,,-10831.0,2012-08-15,643321.0,4238337777.0,39623.5,2012-07-13,583478.0,4217334703.0,,,,,,,,,,,,,11740.357373180766,2012-08-15,643321.0,4238337777.0,11740.668699013699,2012-08-15,643321.0,4238337777.0
629800,4246137912,2012-09-28,710843.0,0.0,11435673.0,0.0,-5401.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,9505.96619234468,2012-05-01,629487.0,4246137508.0,9506.637799453601,2012-05-01,629487.0,4246137508.0
603870,4217335144,2012-10-03,867821.5,1549.0,11511610.0,6726.0,-5201.0,100.0,True,,,,,,,,,,,,,,,,,,,,,,,,,5084.503540169876,2011-09-18,743521.0,4217334243.0,5086.308730307274,2011-09-18,743521.0,4217334243.0
619776,4238337878,2012-10-12,899617.0,236.0,11477992.0,5748.0,-4766.5,49.0,True,,,,,-6928.5,2012-03-03,643137.0,4238337585.0,,,,,,,,,,,,,,,,,7144.623730470345,2012-03-03,643137.0,4238337585.0,7145.3952479901345,2012-03-03,643137.0,4238337585.0
